Success,Search Steps,Search Time,Unsat Clauses
True,116,0.011531591415405273,0
True,118,0.020555496215820312,0
True,182,0.02356266975402832,0
True,54,0.00852656364440918,0
True,290,0.028575420379638672,0
True,149,0.015541553497314453,0
True,161,0.01554107666015625,0
True,68,0.006517887115478516,0
True,604,0.049631595611572266,0
True,286,0.02356243133544922,0
True,231,0.03760075569152832,0
True,119,0.01102900505065918,0
True,267,0.02155447006225586,0
True,280,0.024597644805908203,0
True,201,0.01654338836669922,0
True,58,0.006010770797729492,0
True,425,0.03409004211425781,0
True,352,0.030583620071411133,0
True,470,0.037097930908203125,0
True,283,0.02410125732421875,0
True,122,0.01055908203125,0
True,131,0.01152801513671875,0
True,912,0.07469773292541504,0
True,363,0.02960944175720215,0
True,64,0.0055158138275146484,0
True,194,0.01651906967163086,0
True,158,0.012508869171142578,0
True,171,0.013567447662353516,0
True,262,0.020585060119628906,0
True,301,0.02409839630126953,0
True,917,0.08021354675292969,0
True,238,0.025569677352905273,0
True,937,0.08522820472717285,0
True,230,0.022561073303222656,0
True,170,0.017046689987182617,0
True,672,0.05564761161804199,0
True,236,0.02005171775817871,0
True,70,0.005513906478881836,0
True,933,0.07971334457397461,0
True,441,0.0381014347076416,0
True,116,0.009525299072265625,0
True,213,0.01653885841369629,0
True,241,0.01955127716064453,0
True,324,0.025067567825317383,0
True,67,0.005018711090087891,0
True,334,0.025609731674194336,0
True,116,0.009525299072265625,0
True,481,0.03909754753112793,0
True,216,0.02005314826965332,0
True,449,0.03258705139160156,0
True,86,0.006517171859741211,0
True,743,0.05718207359313965,0
True,248,0.018047571182250977,0
True,131,0.01002192497253418,0
True,107,0.00805044174194336,0
True,34,0.0030074119567871094,0
True,282,0.02008509635925293,0
True,65,0.006549358367919922,0
True,779,0.06319952011108398,0
True,732,0.05467343330383301,0
True,91,0.007555246353149414,0
True,81,0.006536006927490234,0
True,250,0.01905059814453125,0
True,310,0.024558544158935547,0
True,389,0.03509187698364258,0
True,142,0.012531280517578125,0
True,276,0.03008103370666504,0
True,224,0.017547607421875,0
True,799,0.06467342376708984,0
True,181,0.014573812484741211,0
True,27,0.0025060176849365234,0
True,119,0.010026693344116211,0
True,172,0.01303410530090332,0
True,264,0.022058486938476562,0
True,778,0.06266593933105469,0
True,374,0.0310823917388916,0
True,292,0.024063587188720703,0
True,695,0.05617523193359375,0
True,379,0.029064178466796875,0
True,70,0.006517171859741211,0
True,249,0.022591352462768555,0
True,136,0.011028766632080078,0
True,113,0.010058164596557617,0
True,160,0.01453852653503418,0
True,131,0.011031150817871094,0
True,220,0.02105569839477539,0
True,341,0.031574249267578125,0
True,154,0.014037847518920898,0
True,87,0.008020401000976562,0
True,330,0.0240631103515625,0
True,154,0.011529922485351562,0
True,273,0.020554065704345703,0
True,264,0.021556854248046875,0
True,183,0.014538049697875977,0
True,899,0.07520174980163574,0
True,187,0.014538288116455078,0
True,964,0.07319426536560059,0
True,89,0.00751948356628418,0
True,201,0.015541315078735352,0
True,264,0.021556615829467773,0
