C,o,s,t
4518017.475796684
4516551.625472652
4501572.6242315285
4497309.76551986
4493229.290788814
4492098.977280696
4485524.95435728
4473218.24985659
4471862.040103495
4470289.678357497
4466157.390459533
4458887.059096984
4453749.515636209
4446993.969084581
4445887.970022388
4444531.760269292
4433169.041141955
4431638.952802627
4391244.213839299
4373509.460341072
4368989.4426622
4368116.202010972
4359482.69157092
4348397.288870011
4345506.644625413
4336991.370624338
4331174.720536494
4321262.674387842
4312229.531597929
4285336.793313946
4280508.879540794
4280417.89812742
4275034.284267981
4258518.083356294
4254546.627536009
4244619.872080322
4240126.218265637
4239180.818826677
4231824.484383541
4231737.603943791
4220033.667463207
4219539.201930981
4216163.210552075
4203490.740635674
4193532.1138592428
4193374.371106675
4182602.5001240456
4182036.488588414
4176509.7307263343
4155377.876009023
4153357.536903738
4147758.2778505115
4146610.003195189
4137104.357055516
4135412.7930056015
4105719.7935348283
4102935.3533023046
4101430.5378209176
4080744.07161728
4074689.7921996657
4058996.835950533
4045411.359727731
4043426.5661617666
4043042.238887283
4037138.451121308
3978115.9603087567
3937217.9204521235
3936604.284725083
3920282.522483415
3918555.616633715
3905477.4823302114
3903924.7616028273
3883455.3990582265
3879653.4394854214
3879549.55859014
3877294.977999959
3872973.8442695877
3860029.4433938973
3859875.5585165955
3858627.086351455
3857931.5510481894
3857881.5185509734
3850355.8802822037
3844212.5406049453
3840334.7742230343
3831941.089983587
3828990.84045415
3824290.259047838
3822504.679492671
3821591.1033995207
4261118.9461214375
4261029.338508345
4240793.0556468805
4239600.064780682
4230703.386328158
4223882.036954531
4182623.719993136
4176051.4952859078
4152541.835185607
4146683.0606187843
4133747.205717357
4132885.312465037
4111761.4028817657
4107706.391105665
4092106.6360687586
4089741.910404454
4069061.5790144587
4064233.2931720586
4055158.0399632184
4046505.783929541
4040257.2273700573
4030641.6108463528
4025648.0821047956
4019511.995581124
4019223.949818927
4011618.51703946
4010703.6166427545
4007842.7616597386
3996319.1654961007
3987991.404191807
3961569.3880739184
3921249.5996355843
3918503.320332446
3907065.6322763665
3901516.6065374874
3899775.2391128456
3899127.484454726
3897662.1665664297
3895892.830077881
